cascade_set,scaleFactor,minNeighbors,minSize,det,oversize,mean_area_ratio,score
frontalface_default,1.08,3,24,11.0,0.0,0.003421438095059248,9.8
frontalface_default,1.1,3,16,10.0,0.0,0.004532534600289196,10.8
frontalface_default,1.1,3,18,10.0,0.0,0.004532534600289196,10.8
frontalface_default,1.1,3,20,10.0,0.0,0.004532534600289196,10.8
frontalface_default,1.1,3,24,10.0,0.0,0.004532534600289196,10.8
frontalface_default,1.07,3,16,9.0,0.0,0.0036633845165140355,11.8
frontalface_default,1.07,3,18,9.0,0.0,0.0036633845165140355,11.8
frontalface_default,1.07,3,20,9.0,0.0,0.0036633845165140355,11.8
frontalface_default,1.07,3,24,9.0,0.0,0.0036633845165140355,11.8
frontalface_default,1.08,4,16,9.0,0.0,0.0037243223392779273,11.8
frontalface_default,1.08,4,18,9.0,0.0,0.0037243223392779273,11.8
frontalface_default,1.08,4,20,9.0,0.0,0.0037243223392779273,11.8
frontalface_default,1.08,4,24,9.0,0.0,0.0037243223392779273,11.8
frontalface_default,1.07,4,16,8.0,0.0,0.0037985436893203882,12.8
frontalface_default,1.07,4,18,8.0,0.0,0.0037985436893203882,12.8
frontalface_default,1.07,4,20,8.0,0.0,0.0037985436893203882,12.8
frontalface_default,1.07,4,24,8.0,0.0,0.0037985436893203882,12.8
frontalface_default+frontalface_alt2+profileface,1.05,2,16,31.0,1.0,0.0052697389902113,13.0
frontalface_default+frontalface_alt2+profileface,1.05,2,18,31.0,1.0,0.0052697389902113,13.0
frontalface_default+frontalface_alt2+profileface,1.05,2,20,31.0,1.0,0.0052697389902113,13.0
frontalface_default+frontalface_alt2+profileface,1.05,2,24,31.0,1.0,0.0052697389902113,13.0
frontalface_default+frontalface_alt2,1.05,1,16,33.0,0.0,0.004124460886493524,13.8
frontalface_default+frontalface_alt2,1.05,1,18,33.0,0.0,0.004124460886493524,13.8
frontalface_default+frontalface_alt2,1.05,1,20,33.0,0.0,0.004124460886493524,13.8
frontalface_default+frontalface_alt2,1.05,1,24,33.0,0.0,0.004124460886493524,13.8
frontalface_default+frontalface_alt2,1.1,4,16,7.0,0.0,0.005705285212618408,13.8
frontalface_default+frontalface_alt2,1.1,4,18,7.0,0.0,0.005705285212618408,13.8
