Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
860,"[56, 11, 4, 12]",1.2719823453161452,120,1,56,24,4,11,16,1,4,32,1,12
964,"[22, 1, 48, 48]",1.2729856342445185,48,3,22,8,2,1,104,1,48,104,1,48
869,"[29, 32, 24, 0]",1.2802194423145719,64,2,29,72,1,32,56,1,24,8,1,0
252,"[1, 51, 32, 4]",1.2806140022513308,8,2,1,104,4,51,72,1,32,16,1,4
808,"[3, 58, 3, 28]",1.2836663009207925,8,4,3,120,3,58,8,4,3,64,1,28
743,"[29, 24, 24, 0]",1.2870019276936848,64,2,29,56,1,24,56,1,24,8,1,0
539,"[52, 44, 56, 52]",1.2952630836286663,112,1,52,96,1,44,120,1,56,112,1,52
257,"[23, 16, 0, 28]",1.298699551894341,48,4,23,40,1,16,8,1,0,64,1,28
988,"[36, 44, 44, 52]",1.308514200610879,80,1,36,96,1,44,96,1,44,112,1,52
566,"[56, 13, 0, 52]",1.3117615779240925,120,1,56,32,2,13,8,1,0,112,1,52
114,"[22, 4, 12, 32]",1.3117715973912933,48,3,22,16,1,4,32,1,12,72,1,32
552,"[56, 4, 32, 9]",1.3133813319382843,120,1,56,16,1,4,72,1,32,24,2,9
784,"[56, 12, 28, 36]",1.3584213514386871,120,1,56,32,1,12,64,1,28,80,1,36
838,"[56, 36, 4, 20]",1.3616475308382954,120,1,56,80,1,36,16,1,4,48,1,20
588,"[23, 0, 0, 16]",1.3658489305296062,48,4,23,8,1,0,8,1,0,40,1,16
642,"[52, 3, 4, 48]",1.394134177101983,112,1,52,8,4,3,16,1,4,104,1,48
