Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
970,"[48, 19, 33, 48]",0.7509201765060425,104,1,48,40,4,19,72,2,33,104,1,48
935,"[40, 40, 15, 25]",0.750958788394928,88,1,40,88,1,40,32,4,15,56,2,25
9,"[28, 39, 35, 40]",0.7509620130062103,64,1,28,80,4,39,72,4,35,88,1,40
751,"[23, 8, 57, 40]",0.7510192573070527,48,4,23,24,1,8,120,2,57,88,1,40
483,"[44, 44, 33, 19]",0.7512438595294952,96,1,44,96,1,44,72,2,33,40,4,19
954,"[18, 26, 23, 37]",0.7513517141342163,40,3,18,56,3,26,48,4,23,80,2,37
252,"[32, 26, 26, 24]",0.7513581097126008,72,1,32,56,3,26,56,3,26,56,1,24
641,"[19, 11, 28, 29]",0.7513708174228668,40,4,19,24,4,11,64,1,28,64,2,29
653,"[28, 49, 48, 1]",0.7513776123523712,64,1,28,104,2,49,104,1,48,8,2,1
908,"[25, 32, 23, 42]",0.7515050888061523,56,2,25,72,1,32,48,4,23,88,3,42
655,"[40, 33, 52, 35]",0.7516709089279174,88,1,40,72,2,33,112,1,52,72,4,35
49,"[40, 45, 11, 23]",0.751702606678009,88,1,40,96,2,45,24,4,11,48,4,23
697,"[15, 48, 48, 31]",0.7517286717891694,32,4,15,104,1,48,104,1,48,64,4,31
693,"[48, 41, 1, 39]",0.7518223822116852,104,1,48,88,2,41,8,2,1,80,4,39
681,"[40, 18, 12, 34]",0.7519229352474213,88,1,40,40,3,18,32,1,12,72,3,34
337,"[22, 56, 1, 17]",0.7519351005554199,48,3,22,120,1,56,8,2,1,40,2,17
242,"[25, 41, 28, 28]",0.7519453048706055,56,2,25,88,2,41,64,1,28,64,1,28
364,"[18, 26, 9, 1]",0.7519752502441406,40,3,18,56,3,26,24,2,9,8,2,1
316,"[7, 43, 56, 35]",0.752009928226471,16,4,7,88,4,43,120,1,56,72,4,35
87,"[6, 35, 52, 26]",0.7520712912082672,16,3,6,72,4,35,112,1,52,56,3,26
793,"[10, 46, 57, 17]",0.7521389663219452,24,3,10,96,3,46,120,2,57,40,2,17
269,"[25, 16, 31, 52]",0.7521989107131958,56,2,25,40,1,16,64,4,31,112,1,52
423,"[10, 46, 15, 52]",0.7524670541286469,24,3,10,96,3,46,32,4,15,112,1,52
465,"[44, 30, 27, 4]",0.7524934947490692,96,1,44,64,3,30,56,4,27,16,1,4
216,"[10, 50, 56, 46]",0.7527257978916169,24,3,10,104,3,50,120,1,56,96,3,46
209,"[15, 37, 1, 45]",0.7528639197349548,32,4,15,80,2,37,8,2,1,96,2,45
360,"[36, 9, 50, 50]",0.753133237361908,80,1,36,24,2,9,104,3,50,104,3,50
504,"[36, 21, 51, 0]",0.7533535540103913,80,1,36,48,2,21,104,4,51,8,1,0
838,"[56, 25, 21, 17]",0.7536164879798889,120,1,56,56,2,25,48,2,21,40,2,17
668,"[16, 49, 55, 0]",0.7536458075046539,40,1,16,104,2,49,112,4,55,8,1,0
20,"[18, 28, 44, 55]",0.7536661088466644,40,3,18,64,1,28,96,1,44,112,4,55
953,"[40, 45, 21, 13]",0.7537271201610565,88,1,40,96,2,45,48,2,21,32,2,13
791,"[17, 37, 26, 40]",0.7537295520305634,40,2,17,80,2,37,56,3,26,88,1,40
29,"[29, 40, 6, 36]",0.7537525594234467,64,2,29,88,1,40,16,3,6,80,1,36
882,"[6, 35, 29, 50]",0.7537935376167297,16,3,6,72,4,35,64,2,29,104,3,50
266,"[26, 7, 28, 56]",0.7538536965847016,56,3,26,16,4,7,64,1,28,120,1,56
403,"[48, 18, 0, 7]",0.7539511382579803,104,1,48,40,3,18,8,1,0,16,4,7
260,"[16, 35, 19, 8]",0.7539770424365997,40,1,16,72,4,35,40,4,19,24,1,8
300,"[36, 19, 33, 19]",0.7542347013950348,80,1,36,40,4,19,72,2,33,40,4,19
977,"[20, 39, 51, 20]",0.754277229309082,48,1,20,80,4,39,104,4,51,48,1,20
583,"[10, 42, 39, 11]",0.7543269157409668,24,3,10,88,3,42,80,4,39,24,4,11
244,"[10, 35, 27, 58]",0.7543417274951935,24,3,10,72,4,35,56,4,27,120,3,58
544,"[19, 10, 57, 22]",0.754447603225708,40,4,19,24,3,10,120,2,57,48,3,22
460,"[24, 45, 47, 27]",0.7547642707824707,56,1,24,96,2,45,96,4,47,56,4,27
50,"[40, 34, 43, 44]",0.7547947466373444,88,1,40,72,3,34,88,4,43,96,1,44
666,"[48, 13, 7, 7]",0.75480797290802,104,1,48,32,2,13,16,4,7,16,4,7
283,"[29, 2, 31, 20]",0.7548271417617798,64,2,29,8,3,2,64,4,31,48,1,20
780,"[40, 21, 42, 36]",0.7548425376415253,88,1,40,48,2,21,88,3,42,80,1,36
16,"[10, 34, 57, 3]",0.7548457145690918,24,3,10,72,3,34,120,2,57,8,4,3
303,"[24, 50, 19, 39]",0.7551999568939209,56,1,24,104,3,50,40,4,19,80,4,39
96,"[19, 7, 27, 50]",0.7552704453468323,40,4,19,16,4,7,56,4,27,104,3,50
167,"[11, 31, 22, 43]",0.7554702699184418,24,4,11,64,4,31,48,3,22,88,4,43
305,"[40, 10, 38, 7]",0.7555405914783477,88,1,40,24,3,10,80,3,38,16,4,7
141,"[44, 23, 47, 6]",0.7555526852607727,96,1,44,48,4,23,96,4,47,16,3,6
951,"[18, 23, 22, 25]",0.7556203901767731,40,3,18,48,4,23,48,3,22,56,2,25
69,"[40, 26, 18, 17]",0.7557779788970947,88,1,40,56,3,26,40,3,18,40,2,17
916,"[6, 43, 4, 11]",0.7558764398097992,16,3,6,88,4,43,16,1,4,24,4,11
630,"[6, 46, 29, 50]",0.7559959948062897,16,3,6,96,3,46,64,2,29,104,3,50
97,"[23, 4, 13, 9]",0.7564441800117493,48,4,23,16,1,4,32,2,13,24,2,9
71,"[7, 35, 48, 15]",0.7565146327018738,16,4,7,72,4,35,104,1,48,32,4,15
457,"[20, 53, 4, 58]",0.7565446078777314,48,1,20,112,2,53,16,1,4,120,3,58
344,"[14, 52, 57, 28]",0.7566935420036316,32,3,14,112,1,52,120,2,57,64,1,28
952,"[20, 57, 36, 19]",0.7566952764987945,48,1,20,120,2,57,80,1,36,40,4,19
450,"[15, 45, 49, 0]",0.7567092955112458,32,4,15,96,2,45,104,2,49,8,1,0
736,"[48, 34, 4, 48]",0.7567337095737457,104,1,48,72,3,34,16,1,4,104,1,48
803,"[22, 10, 17, 36]",0.7567825257778168,48,3,22,24,3,10,40,2,17,80,1,36
897,"[28, 42, 1, 40]",0.7568581640720368,64,1,28,88,3,42,8,2,1,88,1,40
735,"[28, 30, 27, 3]",0.7569636285305024,64,1,28,64,3,30,56,4,27,8,4,3
778,"[33, 28, 52, 57]",0.7569878160953522,72,2,33,64,1,28,112,1,52,120,2,57
574,"[9, 49, 25, 59]",0.7570434153079987,24,2,9,104,2,49,56,2,25,120,4,59
256,"[13, 45, 23, 35]",0.7571682214736939,32,2,13,96,2,45,48,4,23,72,4,35
342,"[48, 11, 55, 39]",0.7572271645069122,104,1,48,24,4,11,112,4,55,80,4,39
722,"[52, 22, 17, 31]",0.7572668969631196,112,1,52,48,3,22,40,2,17,64,4,31
728,"[33, 0, 22, 19]",0.7573132634162902,72,2,33,8,1,0,48,3,22,40,4,19
